Raport2: CUMPARATE DE MAI MULTE ORI MAI MARI DECAT 0

1 """Blanketed"" Eggplant ":
Rating: 3.75
Pret: 88.0

2 """Bloody Mary"" Tomato Toast with Celery and Horseradish ":
Rating: 5.0
Pret: 16.0

3 """Brown on Blonde"" Blondies ":
Rating: 0.0
Pret: 96.0

4 """California Roll"" Salad ":
Rating: 4.375
Pret: 67.0

5 """Candy Corn"" Frozen Citrus Cream Pops ":
Rating: 2.5
Pret: 90.0

6 """Cannoli"" Ice Cream Sandwiches ":
Rating: 3.75
Pret: 34.0

7 """Cocotte"" of Vegetables ":
Rating: 3.75
Pret: 93.0

8 """Drunken"" Pork Chops ":
Rating: 3.75
Pret: 97.0

9 """La Brea Tar Pit"" Chicken Wings ":
Rating: 3.75
Pret: 92.0

10 """Like a Caesar"" ":
Rating: 4.375
Pret: 72.0

11 """Opulent"" Chicken ":
Rating: 4.375
Pret: 83.0

12 """Paella"" Fried Rice ":
Rating: 4.375
Pret: 31.0

13 """Redeye"" Braised Lamb Shanks and Beans ":
Rating: 4.375
Pret: 23.0

14 """Route 66"" Chili ":
Rating: 3.125
Pret: 16.0

15 """Seder Plate"" Salad ":
Rating: 0.0
Pret: 77.0

16 """Seethed"" Mussels with Parsley and Vinegar ":
Rating: 0.0
Pret: 31.0

17 """Toni's Marinated Olives"" ":
Rating: 4.375
Pret: 98.0

18 """Virgin Mary"" Aspic ":
Rating: 0.0
Pret: 78.0

19 "101 ""Whaler"" Fish Sandwich ":
Rating: 4.375
Pret: 85.0

20 "Alaska King Crab ""Nachos"" ":
Rating: 4.375
Pret: 38.0

21 "Apple ""Flag"" Tart ":
Rating: 1.25
Pret: 17.0

22 "Apple ""Pizza"" ":
Rating: 3.75
Pret: 21.0

23 "Avocado ""Pesto"" ":
Rating: 3.125
Pret: 47.0

24 "Barley ""Risotto"" Carter ":
Rating: 3.75
Pret: 27.0

25 "Blackberry ""Cobbler"" Maguire ":
Rating: 4.375
Pret: 54.0

26 "Brioche ""Bread Pudding"" with Caramelized Apples ":
Rating: 5.0
Pret: 84.0

27 "Buttermilk Cabbage Soup With Black Walnut ""Pesto"" ":
Rating: 0.0
Pret: 10.0

28 "Carp Fish Cakes with Citrus ""Tartar"" Sauce ":
Rating: 3.125
Pret: 26.0

29 "Cauliflower ""Bistecche"" with Pancetta and Caper Berries ":
Rating: 4.375
Pret: 45.0

30 "Cauliflower ""Couscous"" With Dried Fruit and Almonds ":
Rating: 0.0
Pret: 30.0

31 "Cauliflower ""Mac 'n' Cheese"" Casserole ":
Rating: 3.75
Pret: 73.0

32 "Cauliflower ""Rice"" Tabbouleh ":
Rating: 4.375
Pret: 89.0

33 "Celery Root ""Anna"" with Bacon and Olives ":
Rating: 4.375
Pret: 63.0

34 "Celery Root and Potato Puree with Roasted Jerusalem Artichoke ""Croutons"" ":
Rating: 5.0
Pret: 13.0

35 "Ceviche de Camaron: Shrimp Ceviche ""Cocktail"" ":
Rating: 4.375
Pret: 87.0

36 "Charred Squid and Conch Buljol with ""Soused"" Green Figs and Tomato Chokha Coulis ":
Rating: 4.375
Pret: 49.0

37 "Chinese-Hawaiian ""Barbecued"" Ribs ":
Rating: 3.75
Pret: 37.0

38 "Cinnamon Chocolate ""Cigarettes"" ":
Rating: 3.75
Pret: 26.0

39 "Citrus ""Jell-O"" with Honey and Mint ":
Rating: 3.75
Pret: 60.0

40 "Creamy Mint-Cilantro ""Chutney"" ":
Rating: 3.125
Pret: 73.0

41 "Do-Ahead Sheboygan ""Brats"" ":
Rating: 3.75
Pret: 24.0

42 "Endive ""Spoons"" with Lemon-Herb Goat Cheese ":
Rating: 4.375
Pret: 50.0

43 "Flounder ""Kiev"" ":
Rating: 4.375
Pret: 43.0

44 "Frozen ""Creamsicle"" Cake ":
Rating: 3.75
Pret: 83.0

45 "Gala Apple ""Newtons"" with Honey Cream ":
Rating: 1.875
Pret: 21.0

46 "Grilled Scallop ""Ceviche"" ":
Rating: 5.0
Pret: 66.0

47 "Herbed Polenta ""Fries"" ":
Rating: 4.375
Pret: 69.0

48 "Hershey's ""Perfectly Chocolate"" Chocolate Cake ":
Rating: 4.375
Pret: 15.0

49 "Irish ""Bacon"" and Cabbage ":
Rating: 3.75
Pret: 29.0

50 "Israeli Yogurt ""Cheese"" with Pita and Olives ":
Rating: 5.0
Pret: 65.0

51 "Jamaican ""Jerk"" Chicken Wings ":
Rating: 4.375
Pret: 86.0

52 "Lamb and Polenta ""Lasagne"" ":
Rating: 5.0
Pret: 13.0

53 "Lobster ""Potpies"" ":
Rating: 5.0
Pret: 86.0

54 "Meyer Lemon ""Jam"" ":
Rating: 3.125
Pret: 37.0

55 "Mixed Leafy Green Soup ""Caldo Verde"" with Chickpeas ":
Rating: 5.0
Pret: 45.0

56 "New England Blackberry ""Torte"" ":
Rating: 3.75
Pret: 14.0

57 "Oysters Rockefeller ""Deconstructed"" ":
Rating: 5.0
Pret: 99.0

58 "Pasta ""Rags"" with a Thousand Herbs ":
Rating: 3.75
Pret: 13.0

59 "Pineapple ""Salsa"" ":
Rating: 4.375
Pret: 44.0

60 "Poisson Cru (""Tahitian Salad"") ":
Rating: 3.75
Pret: 20.0

61 "Porcini Mushroom Latkes with Mushroom Salad and Chive ""Cream"" ":
Rating: 4.375
Pret: 64.0

62 "Portobello ""Steak"" Sandwiches with Gorgonzola Butter and Red Pepper Vinaigrette ":
Rating: 4.375
Pret: 100.0

63 "Roast Beef for ""Beef on Weck"" ":
Rating: 4.375
Pret: 80.0

64 "Sage and Onion ""Roast"" ":
Rating: 4.375
Pret: 80.0

65 "Salmon ""Bulgogi"" with Bok Choy and Mushrooms ":
Rating: 4.375
Pret: 60.0

66 "Salmon with Potato ""Scales"" ":
Rating: 5.0
Pret: 86.0

67 "San Francisco Crab ""Meatball"" Chowder ":
Rating: 2.5
Pret: 13.0

68 "Sardine ""Tonnato"" Spread ":
Rating: 4.375
Pret: 75.0

69 "Sausage and White Bean ""Cassoulet"" ":
Rating: 4.375
Pret: 77.0

70 "Scallop ""Porcupines"" with Basil-Mint Sauce ":
Rating: 3.75
Pret: 57.0

71 "Scallops with ""Melted"" Leeks and Tarragon-Caper Butter ":
Rating: 4.375
Pret: 86.0

72 "Singapore ""Carrot Cake"" ":
Rating: 3.75
Pret: 73.0

73 "Smoked Fish with Cucumber ""Noodles"" ":
Rating: 2.5
Pret: 12.0

74 "Smoky Grilled Pork Steaks with ""Magic Dust"" ":
Rating: 3.75
Pret: 40.0

75 "Spicy Fried Chicken Wing ""Drumsticks"" ":
Rating: 2.5
Pret: 17.0

76 "Spicy Tuna ""Tarts"" with Stuffed Tomatoes ":
Rating: 4.375
Pret: 92.0

77 "Strawberry-Rhubarb ""Courting"" Cake ":
Rating: 4.375
Pret: 77.0

78 "Sunflower Seed ""Risotto"" With Squash and Mushrooms ":
Rating: 3.75
Pret: 99.0

79 "Tex-Mex ""Lasagne"" ":
Rating: 4.375
Pret: 31.0

80 "Toasted Barley and Asparagus ""risotto"" ":
Rating: 3.75
Pret: 17.0

81 "Tomato ""Sushi"" ":
Rating: 4.375
Pret: 50.0

82 "Tortellini Gratinata with Mushrooms and Parsnip ""Béchamel ":
Rating: 3.75
Pret: 13.0

83 "Vegetable Platter with Cannellini ""Hummus"" ":
Rating: 3.125
Pret: 94.0

84 "Vietnamese ""Pho"" Rice Noodle Soup with Beef ":
Rating: 3.75
Pret: 75.0

85 "Wonton Soup With Mushroom-Zucchini ""Meatballs"" ":
Rating: 3.125
Pret: 62.0

86 "Zucchini ""Noodles"" With Eggplant and Tomatoes ":
Rating: 4.375
Pret: 77.0

87 1977 Coconut Angel Food Cake :
Rating: 3.75
Pret: 67.0

88 1985 Chicken Pie with Biscuit Crust :
Rating: 5.0
Pret: 56.0

89 1989 Chocolate Raspberry Almond Torte :
Rating: 4.375
Pret: 99.0

90 3-Ingredient Caramel-Pear Galette :
Rating: 5.0
Pret: 87.0

